Date,Open,High,Low,Close,Adj Close,Volume
2018-10-01,138.259995,139.850006,138.000000,139.690002,129.036469,4871800
2018-10-02,139.789993,140.729996,139.649994,140.479996,129.766190,6439100
2018-10-03,140.539993,141.270004,138.880005,139.029999,128.426819,5411800
2018-10-04,138.550003,139.529999,137.320007,139.350006,128.722382,4738700
2018-10-05,139.800003,140.250000,138.559998,139.100006,128.491440,4309300
2018-10-08,138.899994,139.679993,138.619995,139.389999,128.759323,5174100
2018-10-09,138.740005,139.619995,137.809998,139.199997,128.583801,4475300
2018-10-10,139.350006,140.460007,137.729996,137.729996,127.225945,7265600
2018-10-11,137.910004,138.660004,132.880005,133.839996,123.632614,11603200
2018-10-12,134.399994,134.410004,132.229996,133.869995,123.660324,6998000
2018-10-15,133.880005,135.300003,133.509995,133.949997,123.734222,6398700
2018-10-16,134.750000,137.990005,134.750000,136.559998,126.145172,9592800
2018-10-17,136.229996,140.000000,136.210007,139.460007,128.824005,8261100
2018-10-18,139.199997,139.809998,137.710007,139.500000,128.860962,7583900
2018-10-19,138.339996,140.000000,137.910004,139.050003,128.445251,5924800
2018-10-22,138.610001,139.259995,138.139999,138.679993,128.103500,4864300
2018-10-23,137.789993,139.490005,137.449997,138.929993,128.334396,8282700
2018-10-24,138.520004,140.110001,137.169998,137.470001,126.985764,8279200
2018-10-25,137.460007,139.089996,135.050003,138.470001,127.909485,9720700
2018-10-26,137.940002,139.300003,135.330002,136.970001,126.523926,11371400
2018-10-29,136.990005,139.100006,136.220001,137.550003,127.059662,6783000
2018-10-30,137.929993,141.100006,137.000000,140.750000,130.015610,9646200
2018-10-31,141.000000,141.429993,139.610001,139.990005,129.313583,9968900
2018-11-01,140.070007,141.580002,139.850006,140.820007,130.080292,6913500
2018-11-02,141.970001,142.000000,139.660004,140.679993,129.950928,7673200
2018-11-05,141.000000,142.740005,139.000000,142.199997,131.355011,5601400
2018-11-06,141.529999,142.830002,141.059998,142.570007,131.696808,5798900
2018-11-07,143.100006,144.869995,142.970001,144.750000,133.710541,7173600
2018-11-08,144.309998,145.789993,144.000000,145.300003,134.218597,5497100
2018-11-09,145.039993,145.740005,144.380005,145.339996,134.255539,5343100
2018-11-12,144.990005,146.240005,144.729996,145.619995,134.514206,7013600
2018-11-13,146.190002,146.750000,143.419998,144.679993,133.645874,7432300
2018-11-14,145.020004,145.309998,143.559998,144.250000,133.248688,6433100
2018-11-15,143.410004,144.509995,142.479996,144.500000,133.479599,6657900
2018-11-16,144.710007,146.740005,144.550003,145.990005,134.855972,8494300
